Course,Daytime_evening_attendance,Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status_Updated,Status_0,Status_1,Status_2,Status
171,1,127.3,0,0,1,1,0,20,0.0,0.0,0,True,False,False,0
9254,1,142.5,0,0,0,1,0,19,14.0,13.666666666666666,1,False,False,True,2
9070,1,124.8,0,0,0,1,0,19,0.0,0.0,0,True,False,False,0
9773,1,119.6,0,0,1,0,0,20,13.428571428571429,12.4,1,False,False,True,2
8014,0,141.5,0,0,1,0,0,45,12.333333333333334,13.0,1,False,False,True,2
9991,0,114.8,0,1,1,1,0,50,11.857142857142858,11.5,1,False,False,True,2
9500,1,128.4,0,0,1,0,1,18,13.3,14.345,1,False,False,True,2
9254,1,113.1,0,0,0,1,0,22,0.0,0.0,0,True,False,False,0
9238,1,129.3,0,0,1,0,1,21,13.875,14.142857142857142,1,False,False,True,2
9238,1,123.0,0,1,0,0,0,18,11.4,13.5,0,True,False,False,0
9670,1,130.6,0,0,1,0,0,18,12.333333333333334,14.2,1,False,False,True,2
9500,1,119.3,0,0,1,0,1,18,13.214285714285714,13.214285714285714,1,False,False,True,2
9853,1,130.2,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0
9254,1,111.8,0,0,1,0,1,21,10.571428571428571,11.0,1,False,False,True,2
9085,1,137.1,0,0,1,0,1,18,13.25,12.0,1,False,False,True,2
9773,1,120.7,0,0,1,0,0,20,13.2,0.0,0,True,False,False,0
9238,1,137.4,0,0,1,0,0,18,12.0,11.0,1,False,True,False,1
9500,1,127.3,0,0,1,0,0,18,13.30625,14.545,1,False,False,True,2
9130,1,136.3,0,0,1,0,0,20,12.5,12.25,1,False,False,True,2
9853,1,124.6,0,0,1,0,0,18,11.666666666666666,13.5,1,False,True,False,1
171,1,120.3,0,0,1,0,1,21,0.0,0.0,1,False,False,True,2
9556,1,121.8,0,0,1,0,0,20,11.4375,11.425,1,False,True,False,1
9500,1,125.5,0,0,1,0,0,18,12.857142857142858,12.857142857142858,1,False,False,True,2
9670,1,114.9,0,0,1,0,1,19,13.375,12.285714285714286,1,False,False,True,2
9500,1,123.9,0,0,1,0,0,19,13.296666666666669,14.114285714285714,1,False,False,True,2
9238,1,157.0,0,1,1,0,1,18,11.6,11.0,1,False,True,False,1
9238,1,116.4,0,0,1,0,0,21,11.375,13.285714285714286,1,False,False,True,2
9085,1,131.0,0,0,1,0,0,18,12.666666666666666,13.0,1,False,True,False,1
9147,1,122.1,0,0,1,0,0,20,12.0,12.333333333333334,1,False,False,True,2
9500,1,118.8,0,0,1,1,0,19,12.933333333333332,13.716666666666669,1,False,True,False,1
9003,1,150.0,0,0,1,1,0,21,11.857142857142858,10.571428571428571,1,False,True,False,1
9070,1,130.0,0,0,1,1,0,20,12.833333333333334,13.4,1,False,False,True,2
9147,1,138.8,0,0,0,1,0,18,11.333333333333334,13.5,1,False,True,False,1
8014,0,134.5,0,0,1,0,0,19,12.666666666666666,14.375,1,False,False,True,2
9991,0,131.4,0,0,1,1,0,34,12.4,13.428571428571429,1,False,False,True,2
33,1,102.5,0,1,0,1,0,37,0.0,10.0,0,True,False,False,0
9119,1,128.8,0,0,1,1,0,43,0.0,0.0,0,True,False,False,0
9147,1,122.9,0,0,1,0,0,55,10.0,12.0,0,True,False,False,0
9991,0,113.9,0,0,1,0,0,39,11.0,11.6,1,False,False,True,2
9130,1,120.0,0,1,0,0,0,20,11.666666666666666,12.0,0,True,False,False,0
9773,1,121.1,0,1,1,0,0,18,12.75,0.0,0,True,False,False,0
9147,1,120.4,0,0,1,0,0,22,14.8,15.8,1,False,False,True,2
9500,1,100.6,1,0,1,0,0,22,13.928,14.342857142857142,1,False,False,True,2
9773,1,121.4,0,0,0,0,0,20,13.0,13.8,0,True,False,False,0
9991,0,109.7,0,0,1,0,0,29,0.0,0.0,0,True,False,False,0
9991,0,134.1,0,0,1,0,0,24,11.5,14.333333333333334,1,False,True,False,1
9238,1,127.6,0,0,1,0,0,18,11.666666666666666,13.2,1,False,False,True,2
9500,1,132.4,0,0,1,0,1,22,13.516666666666666,13.771428571428572,1,False,False,True,2
8014,0,133.4,0,0,1,0,1,21,11.5,13.285714285714286,1,False,False,True,2
9238,1,126.1,0,0,1,0,1,19,12.333333333333334,12.833333333333334,1,False,False,True,2
9254,1,113.5,0,0,1,0,1,24,13.666666666666666,14.166666666666666,1,False,False,True,2
9500,1,121.3,0,0,1,0,1,19,11.833333333333334,11.833333333333334,1,False,True,False,1
9773,1,121.8,0,0,1,0,1,20,14.0,11.0,1,False,True,False,1
9130,1,159.3,0,0,1,0,0,19,14.714285714285714,15.8,1,False,False,True,2
9991,0,120.0,0,0,1,0,0,27,10.6,11.0,0,True,False,False,0
9500,1,129.1,0,0,1,0,0,18,13.044444444444444,13.595,1,False,False,True,2
9254,1,130.0,0,0,1,0,0,39,0.0,0.0,0,True,False,False,0
9130,1,155.3,0,0,1,0,0,27,13.0,12.9,0,True,False,False,0
9500,1,139.8,0,0,1,0,0,18,14.935,14.935,1,False,False,True,2
171,1,115.2,0,0,1,0,0,18,0.0,0.0,1,False,True,False,1
9500,1,114.9,0,0,1,0,0,18,13.133333333333333,12.221428571428572,1,False,False,True,2
9238,1,131.9,0,0,1,0,1,21,12.0,12.0,1,False,False,True,2
171,1,126.0,0,0,1,1,1,19,0.0,0.0,1,False,True,False,1
9070,1,130.2,0,0,1,1,0,19,11.4,10.0,1,False,True,False,1
9070,1,120.9,0,0,1,1,0,24,0.0,0.0,1,False,True,False,1
9500,1,126.0,0,0,1,1,0,29,11.9,11.0,0,True,False,False,0
171,1,128.2,0,0,1,1,1,19,0.0,0.0,1,False,False,True,2
9003,1,130.0,0,0,1,1,0,23,12.571428571428571,12.428571428571429,1,False,False,True,2
9147,1,120.1,0,1,1,1,0,19,11.2,10.75,0,True,False,False,0
9254,1,100.0,0,0,1,1,0,26,12.0,10.8,1,False,True,False,1
9147,1,134.0,0,0,1,1,0,18,0.0,0.0,1,False,True,False,1
9500,1,130.8,0,0,1,1,0,24,11.975,13.75,1,False,False,True,2
171,1,135.8,0,0,1,1,0,19,0.0,0.0,0,True,False,False,0
9254,1,111.7,0,0,1,1,0,18,11.666666666666666,12.0,0,True,False,False,0
9773,1,132.9,0,0,1,1,0,18,12.333333333333334,12.333333333333334,1,False,False,True,2
9147,1,115.5,0,1,1,1,0,18,10.333333333333334,10.857142857142858,0,True,False,False,0
9254,1,106.0,0,0,1,1,1,21,10.5,11.0,0,True,False,False,0
9773,1,120.3,0,1,1,1,1,19,13.666666666666666,13.333333333333334,1,False,False,True,2
9500,1,130.8,0,0,1,1,1,22,14.842857142857142,15.055555555555555,1,False,False,True,2
8014,0,117.0,0,0,1,1,0,33,12.0,11.666666666666666,1,False,False,True,2
9853,1,110.2,0,0,1,1,0,20,12.2,12.2,0,True,False,False,0
9991,0,155.7,0,0,1,1,0,35,0.0,0.0,0,True,False,False,0
9003,1,180.4,0,1,1,1,0,24,12.166666666666666,13.3,0,True,False,False,0
9254,1,125.5,0,0,1,1,0,18,12.0,11.333333333333334,1,False,True,False,1
8014,0,110.0,0,0,1,0,0,33,11.0,11.0,1,False,False,True,2
9500,1,161.0,0,0,1,0,1,22,13.08,13.08,1,False,False,True,2
9670,1,100.0,0,0,1,0,1,25,10.5,11.6,1,False,False,True,2
9070,1,117.6,0,0,1,1,0,20,10.666666666666666,11.2,1,False,False,True,2
9147,1,128.7,0,0,1,1,0,23,14.0,13.8,1,False,True,False,1
9119,1,112.2,0,1,1,1,0,18,10.0,0.0,1,False,True,False,1
9500,1,100.8,0,0,1,1,0,24,0.0,0.0,0,True,False,False,0
9773,1,105.0,0,0,0,0,0,21,14.0,13.5,1,False,False,True,2
9130,1,100.0,0,0,1,0,0,26,12.0,0.0,0,True,False,False,0
9853,1,115.5,0,0,1,0,0,39,12.666666666666666,0.0,0,True,False,False,0
